D Time (seconds)	Pitot Pressure (PSIG)	Plenum Pressure (PSIG)	Tank Pressure (PSIG)
9.282	-0.134	64.826	85.175	-13.751
9.311	-0.101	64.813	83.840	-13.721
9.340	-0.176	64.758	84.599	-13.751
9.370	-0.206	64.783	83.545	-13.777
9.399	-0.252	64.681	84.514	-13.768
9.428	-0.210	64.639	84.477	-13.760
9.458	-0.268	64.575	85.408	-13.810
9.488	-0.235	64.669	83.570	-13.781
9.522	-0.210	64.545	84.685	-13.781
9.552	-0.222	64.558	84.379	-13.823
9.582	-0.176	64.507	83.509	-13.777
9.613	-0.101	64.414	84.121	-13.789
9.643	-0.130	64.448	83.827	-13.726
9.673	-0.201	64.469	84.256	-13.777
9.703	-0.218	64.359	83.803	-13.798
9.733	-0.218	64.333	84.170	-13.785
9.763	-0.159	64.376	81.928	-13.764
9.798	-0.105	64.244	83.533	-13.760
9.828	-0.109	64.163	84.023	-13.768
9.857	-0.164	64.219	83.435	-13.810
9.886	-0.231	64.091	84.183	-13.793
9.915	-0.151	63.989	84.281	-13.768
9.944	-0.143	64.117	81.352	-13.768
9.974	-0.168	63.981	82.700	-13.781
10.003	-0.197	63.947	83.521	-13.777
10.033	-0.155	63.909	82.210	-13.789
10.063	-0.117	63.909	81.977	-13.755
10.092	-0.134	63.773	82.467	-13.764
10.121	-0.206	63.841	81.695	-13.810
10.151	-0.109	63.688	82.822	-13.760
10.180	-0.214	63.663	82.859	-13.772
10.213	-0.214	63.748	81.903	-13.832
10.243	-0.080	63.557	81.940	-13.713
10.273	-0.168	63.603	82.026	-13.793
10.303	-0.180	63.501	83.227	-13.823
10.333	-0.168	63.446	82.540	-13.789
10.363	-0.289	63.531	82.528	-13.836
10.392	-0.164	63.574	80.947	-13.819
10.426	-0.247	63.450	82.822	-13.844
10.456	-0.143	63.370	82.210	-13.781
10.489	-0.117	63.302	80.200	-13.781
10.519	-0.164	63.255	82.455	-13.840
10.549	-0.247	63.175	82.724	-13.823
10.579	-0.264	63.115	82.222	-13.840
10.609	-0.247	62.958	82.455	-13.870
10.638	-0.260	62.869	82.957	-13.853
10.668	-0.201	62.678	83.055	-13.827
10.699	-0.193	62.674	81.278	-13.836
10.733	-0.067	62.491	80.518	-13.802
10.764	-0.122	62.334	81.866	-13.823
10.793	-0.109	62.190	81.180	-13.785
10.822	-0.189	62.007	80.812	-13.849
10.853	-0.239	61.765	80.739	-13.874
10.883	-0.243	61.413	81.781	-13.823
10.914	-0.159	61.120	80.065	-13.857
10.944	-0.273	60.764	81.609	-13.861
10.973	-0.180	60.314	82.087	-13.866
11.003	-0.231	60.017	80.910	-13.870
11.075	-0.239	58.676	81.781	-13.887
11.106	-0.159	58.039	79.869	-13.849
11.136	-0.243	57.330	80.420	-13.900
11.165	-0.176	56.464	80.384	-13.895
11.194	-0.151	55.539	81.217	-13.853
11.228	-0.168	54.364	80.187	-13.891
11.258	-0.218	53.163	80.861	-13.878
11.287	-0.159	51.864	79.771	-13.878
11.316	-0.088	50.523	80.371	-13.755
11.345	-0.147	49.194	79.195	-13.543
11.373	-0.214	47.853	81.180	-13.246
11.404	-0.210	46.554	80.040	-12.758
11.434	-0.063	45.116	79.820	-12.147
11.464	-0.172	43.804	80.420	-11.604
11.493	-0.138	42.327	79.820	-10.929
11.522	-0.289	40.825	80.298	-10.398
11.551	-0.277	38.872	80.580	-9.863
11.579	-0.231	36.534	79.930	-9.324
11.608	-0.122	33.898	79.783	-8.756
11.636	-0.197	31.038	78.692	-8.280
11.665	-0.164	27.812	79.746	-7.686
11.694	-0.172	24.586	80.384	-7.207
11.723	-0.151	21.382	79.587	-6.591
11.751	-0.075	18.288	78.962	-5.988
11.779	-0.231	15.402	78.606	-5.432
11.808	-0.147	12.431	78.705	-4.686
11.841	-0.210	9.286	80.874	-3.866
11.871	-0.189	6.982	80.053	-3.158
11.899	-0.126	4.911	80.960	-2.462
11.927	-0.138	3.217	79.624	-1.880
11.960	-0.130	1.515	79.379	-1.396
11.989	-0.294	0.492	80.837	-1.002
12.019	-0.155	0.009	79.526	-0.637
12.047	-0.193	0.085	79.709	-0.407
12.076	-0.247	0.352	79.893	-0.233
12.105	-0.075	0.289	79.330	-0.013
12.136	-0.197	0.216	79.758	-0.119
12.165	-0.180	0.127	78.986	-0.144
12.193	-0.155	0.127	79.991	-0.081
12.223	-0.180	0.208	79.440	-0.017
12.251	-0.247	0.238	80.494	-0.110
12.281	-0.260	0.161	80.996	-0.115
12.309	-0.197	0.098	80.776	-0.093
12.339	-0.147	0.174	79.428	-0.072
12.368	-0.189	0.132	81.707	-0.102
12.398	-0.109	0.161	79.084	-0.034
12.426	-0.164	0.110	80.310	-0.047
12.455	-0.155	0.149	80.285	-0.115
12.485	-0.218	0.195	79.869	-0.110
12.514	-0.218	0.149	80.236	-0.038
12.544	-0.138	0.110	80.016	-0.047
12.574	-0.180	0.115	80.187	-0.042
12.604	-0.206	0.157	79.844	-0.102
12.633	-0.218	0.115	80.604	-0.064
12.663	-0.277	0.166	80.641	-0.132
12.692	-0.138	0.106	80.053	-0.085
12.722	-0.247	0.106	80.629	-0.059
12.750	-0.210	0.089	80.445	-0.025
12.780	-0.080	0.072	79.955	-0.025
12.810	-0.185	0.170	78.435	-0.038
12.839	-0.176	0.115	79.893	-0.068
12.869	-0.235	0.119	80.371	-0.068
12.899	-0.189	0.059	80.837	-0.034
12.930	-0.172	0.093	79.562	-0.017
12.960	-0.222	0.093	80.629	-0.085
12.990	-0.189	0.076	80.947	-0.089
13.025	-0.210	0.072	80.678	-0.047
13.055	-0.193	0.098	79.807	-0.059
13.085	-0.159	0.038	80.641	-0.008
13.115	-0.273	0.115	80.273	-0.098
13.145	-0.185	0.110	79.146	-0.030
13.175	-0.260	0.110	80.273	-0.059
