D Time (seconds)	Pitot Pressure (PSIG)	Plenum Pressure (PSIG)	Tank Pressure (PSIG)    Static Pressure Probe (PSIG)
10.108	-0.193	44.462	114.441	-6.396
10.138	-0.164	46.537	113.657	-6.680
10.166	-0.164	48.396	114.981	-6.973
10.196	-0.222	50.319	114.454	-7.245
10.226	-0.193	52.152	113.338	-7.465
10.255	-0.231	53.897	114.270	-7.746
10.283	-0.189	55.577	113.412	-7.746
10.339	-0.109	58.676	113.277	-7.801
10.370	-0.105	60.204	113.486	-8.102
10.400	-0.260	61.774	113.424	-8.510
10.429	-0.226	62.975	113.988	-8.832
10.458	-0.138	64.155	111.892	-9.125
10.492	-0.256	65.407	112.959	-9.498
10.521	-0.197	66.409	112.088	-9.804
10.550	-0.201	67.347	112.444	-10.029
10.580	-0.096	68.242	111.610	-10.288
10.610	-0.130	69.074	112.174	-10.538
10.640	-0.172	69.812	112.419	-10.806
10.669	-0.185	70.538	112.505	-10.967
10.698	-0.218	71.247	113.228	-11.196
10.728	-0.264	71.964	112.481	-11.400
10.757	-0.176	72.452	112.701	-11.553
10.787	-0.168	73.127	111.537	-11.727
10.817	-0.159	73.670	111.733	-11.888
10.847	-0.243	74.231	111.966	-12.109
10.876	-0.264	74.740	110.814	-12.257
10.906	-0.088	75.118	111.390	-12.350
10.936	-0.084	75.563	111.414	-12.457
10.965	-0.151	76.047	111.194	-12.609
10.995	-0.210	76.476	111.794	-12.766
11.025	-0.143	76.786	111.831	-12.817
11.055	-0.172	77.202	110.851	-12.949
11.085	-0.172	77.575	111.365	-13.047
11.119	-0.117	77.864	111.733	-13.055
11.150	-0.122	78.318	109.833	-13.097
11.180	-0.180	78.577	110.520	-13.204
11.210	-0.260	78.819	110.789	-13.288
11.239	-0.109	79.022	111.181	-13.318
11.269	-0.206	79.481	109.711	-13.369
11.299	-0.172	79.536	111.635	-13.403
11.333	-0.109	79.846	109.110	-13.352
11.363	-0.147	79.965	110.679	-13.365
11.392	-0.130	80.304	109.086	-13.369
11.422	-0.189	80.419	109.601	-13.424
11.453	-0.256	80.639	110.397	-13.488
11.483	-0.063	80.860	109.110	-13.441
11.517	-0.105	81.043	109.441	-13.471
11.547	-0.122	81.195	108.963	-13.454
11.577	-0.210	81.272	109.000	-13.492
11.607	-0.164	81.442	110.250	-13.450
11.637	-0.138	81.624	108.289	-13.450
11.667	-0.214	81.751	107.995	-13.501
11.696	-0.159	81.734	110.434	-13.479
11.725	-0.159	81.849	109.564	-13.454
11.755	-0.239	82.036	109.012	-13.535
11.785	-0.096	82.108	107.860	-13.424
11.818	-0.117	82.197	108.216	-13.458
11.851	-0.122	82.265	108.203	-13.471
11.882	-0.155	82.422	108.044	-13.488
11.912	-0.101	82.329	108.645	-13.441
11.942	-0.134	82.486	108.951	-13.462
11.971	-0.214	82.422	109.221	-13.467
12.001	-0.210	82.643	107.493	-13.484
12.031	-0.117	82.545	107.836	-13.441
12.061	-0.273	82.698	108.510	-13.522
12.094	-0.138	82.677	108.755	-13.454
12.123	-0.159	82.800	107.909	-13.484
12.153	-0.189	82.834	107.382	-13.509
12.183	-0.226	82.689	108.326	-13.488
12.213	-0.088	82.783	107.419	-13.492
12.243	-0.159	82.702	107.983	-13.450
12.273	-0.180	82.829	107.260	-13.518
