X-Data [Hz],Reference,Article 1 3749 (M - Filtered) [g],Phase [Deg],Article 2 8361 (M - Filtered) [g],Phase [Deg],Article 3 8482 (M - Filtered) [g],Phase [Deg],Control [g]
,,002: [05-24-17 14:40],,002: [05-24-17 14:40],,002: [05-24-17 14:40],,002: [05-24-17 14:40]
5,0.55,0.551723,73.1,0.576066,76.4,0.614572,77,0.529252
5.00877,0.55,0.553933,73.1,0.577712,76.4,0.617281,77,0.530071
5.01755,0.55,0.556143,73.1,0.579358,76.4,0.619991,77,0.530891
5.02634,0.55,0.561,-47.1,0.589587,-43.3,0.626774,-43.5,0.538174
5.03515,0.55,0.567193,-169.3,0.598393,-165.3,0.636336,-165.6,0.547138
5.04398,0.55,0.570739,-169.3,0.598616,-165.3,0.641824,-165.6,0.549639
5.05282,0.55,0.576013,67.2,0.601727,71.4,0.646613,72.1,0.553197
5.06168,0.55,0.577741,67.2,0.604616,71.4,0.645914,72.1,0.554255
5.07055,0.55,0.579402,-57.4,0.606726,-53.2,0.644701,-53.5,0.555154
5.07944,0.55,0.579335,-57.4,0.605947,-53.2,0.644187,-53.5,0.554995
5.08835,0.55,0.58008,176.6,0.607414,-179.3,0.647507,-179.2,0.554312
5.09727,0.55,0.579872,48.8,0.609008,53.1,0.650337,53,0.554967
5.1062,0.55,0.578853,48.8,0.608356,53.1,0.649334,53,0.556147
5.11515,0.55,0.579837,-80,0.608493,-76.4,0.64945,-76,0.555764
5.12412,0.55,0.581842,-80,0.609282,-76.4,0.65057,-76,0.554201
5.1331,0.55,0.584564,149.2,0.609969,153.2,0.650804,153.1,0.55417
5.1421,0.55,0.585283,149.2,0.609867,153.2,0.649918,153.1,0.555701
5.15111,0.55,0.58484,17,0.612082,20.8,0.652418,21,0.557368
5.16014,0.55,0.583003,-117,0.612651,-112.4,0.654117,-112.5,0.556563
5.16919,0.55,0.582326,-117,0.610904,-112.4,0.65243,-112.5,0.555624
5.17825,0.55,0.58304,107.9,0.609754,111.9,0.652572,112.2,0.555886
5.18733,0.55,0.584432,107.9,0.610353,111.9,0.654401,112.2,0.557088
5.19642,0.55,0.585903,-28.1,0.612026,-24.5,0.655014,-24.5,0.557314
5.20553,0.55,0.585981,-28.1,0.613101,-24.5,0.653798,-24.5,0.556337
5.21466,0.55,0.58504,-167.1,0.611685,-162.9,0.65488,-163,0.554887
5.2238,0.55,0.584322,53.1,0.611094,57.2,0.656607,57.5,0.555572
5.23296,0.55,0.584623,53.1,0.612994,57.2,0.656036,57.5,0.556731
5.24213,0.55,0.584388,-88,0.614154,-83.9,0.65641,-84,0.557571
5.25132,0.55,0.583851,-88,0.613414,-83.9,0.657354,-84,0.557254
5.26052,0.55,0.583563,129.4,0.613264,133.2,0.657759,133.3,0.557236
5.26975,0.55,0.583812,129.4,0.613854,133.2,0.657219,133.3,0.557536
5.27898,0.55,0.58597,-15.2,0.613392,-11.3,0.657405,-11.3,0.557364
5.28824,0.55,0.586766,-160.8,0.612453,-157.1,0.657884,-157,0.556113
5.29751,0.55,0.585652,-160.8,0.612566,-157.1,0.657637,-157,0.555333
5.3068,0.55,0.584349,51.6,0.612931,55.2,0.657701,55.3,0.554727
5.3161,0.55,0.584159,51.6,0.613182,55.2,0.658012,55.3,0.554901
5.32542,0.55,0.582835,-97.7,0.613736,-93.6,0.658495,-93.8,0.556034
5.33475,0.55,0.581701,-97.7,0.614038,-93.6,0.658667,-93.8,0.556995
5.3441,0.55,0.583692,111.5,0.613994,115.1,0.6605,115.5,0.557086
5.35347,0.55,0.586467,-40.4,0.614716,-36.5,0.661025,-36.5,0.555272
5.36286,0.55,0.586115,-40.4,0.615784,-36.5,0.65989,-36.5,0.554327
5.37226,0.55,0.587925,165.6,0.616048,169.6,0.659907,169.5,0.554434
5.38168,0.55,0.590088,165.6,0.615243,169.6,0.66106,169.5,0.555487
5.39111,0.55,0.59094,10.5,0.614997,14.2,0.662341,14.3,0.556761
5.40056,0.55,0.58963,10.5,0.615556,14.2,0.66247,14.3,0.556982
5.41003,0.55,0.586335,-150.5,0.615506,-146.6,0.661589,-146.6,0.555942
5.41951,0.55,0.586916,54.7,0.615208,58.9,0.661685,58.7,0.555395
5.42901,0.55,0.589481,54.7,0.615519,58.9,0.66279,58.7,0.55611
5.43853,0.55,0.590396,-105.1,0.616105,-101.7,0.663828,-101.2,0.556461
5.44806,0.55,0.588746,-105.1,0.616381,-101.7,0.663761,-101.2,0.556098
5.45761,0.55,0.587434,93.2,0.616732,96.9,0.663849,96.8,0.556455
5.46718,0.55,0.587772,93.2,0.616807,96.9,0.664004,96.8,0.557177
5.47677,0.55,0.585092,-71,0.616884,-66.6,0.664424,-66.5,0.555015
5.48637,0.55,0.583569,125.2,0.616078,128.2,0.665183,128.6,0.552328
5.49598,0.55,0.585063,125.2,0.615271,128.2,0.665676,128.6,0.552526
5.50562,0.55,0.587104,-40.7,0.616656,-38,0.66653,-38,0.554289
5.51527,0.55,0.587651,-40.7,0.618848,-38,0.666891,-38,0.555854
5.52494,0.55,0.591819,150.1,0.620247,153.6,0.668759,153.8,0.557837
5.53462,0.55,0.59544,150.1,0.619453,153.6,0.670267,153.8,0.558255
5.54433,0.55,0.588153,-23.6,0.619266,-20,0.669609,-19.9,0.557238
5.55404,0.55,0.581668,169.5,0.620227,172.4,0.668514,172.6,0.55677
5.56378,0.55,0.58609,169.5,0.620582,172.4,0.669585,172.6,0.557736
5.57353,0.55,0.594687,-4.3,0.61966,-0.6,0.670454,-0.6,0.557301
5.5833,0.55,0.598862,-4.3,0.618382,-0.6,0.670252,-0.6,0.5559
5.59309,0.55,0.598335,-179.3,0.618052,-175.3,0.66927,-175.2,0.554338
5.6029,0.55,0.593633,-179.3,0.618999,-175.3,0.66849,-175.2,0.554176
5.61272,0.55,0.580387,5.1,0.618851,8.5,0.669653,8.4,0.554622
5.62256,0.55,0.580929,-172.5,0.618939,-169.5,0.671993,-169.4,0.555039
5.63241,0.55,0.590016,-172.5,0.620121,-169.5,0.672389,-169.4,0.554849
5.64229,0.55,0.602355,7.4,0.620858,10.8,0.673132,10.8,0.555656
5.65218,0.55,0.605608,7.4,0.620413,10.8,0.67348,10.8,0.556654
5.66209,0.55,0.601187,-174.4,0.620654,-170.5,0.67401,-170.4,0.556994
5.67201,0.55,0.593513,-174.4,0.62134,-170.5,0.674193,-170.4,0.556336
5.68196,0.55,0.583793,3.7,0.621858,6.5,0.674184,6.6,0.555544
5.69192,0.55,0.589339,178.8,0.622056,-178.1,0.674629,-178.1,0.555731
5.7019,0.55,0.596931,178.8,0.622421,-178.1,0.675264,-178.1,0.556054
5.71189,0.55,0.603507,-8.4,0.623049,-4.4,0.676234,-4.4,0.556142
5.7219,0.55,0.602491,-8.4,0.623312,-4.4,0.676569,-4.4,0.555908
5.73193,0.55,0.596883,164,0.624547,167.6,0.677555,167.8,0.555722
5.74198,0.55,0.592291,164,0.62552,167.6,0.678206,167.8,0.55577
5.75205,0.55,0.591159,-25.7,0.624642,-22.2,0.679261,-22,0.555579
5.76213,0.55,0.595003,143.6,0.62495,146.7,0.679761,146.7,0.556424
5.77223,0.55,0.595388,143.6,0.627107,146.7,0.679857,146.7,0.557509
5.78235,0.55,0.596484,-50.1,0.626917,-46.8,0.680085,-46.4,0.558273
5.79249,0.55,0.597196,-50.1,0.624571,-46.8,0.680217,-46.4,0.557953
5.80264,0.55,0.597436,115,0.624114,119,0.680684,118.8,0.557281
5.81281,0.55,0.596964,115,0.626003,119,0.681019,118.8,0.556928
5.823,0.55,0.595731,-80.9,0.625968,-78,0.680738,-77.7,0.555469
5.83321,0.55,0.595281,80.1,0.624662,84.2,0.68084,84.2,0.555191
5.84344,0.55,0.595592,80.1,0.625281,84.2,0.681557,84.2,0.556019
5.85368,0.55,0.595976,-119.3,0.625409,-115.7,0.681991,-115.8,0.556239
5.86394,0.55,0.596049,-119.3,0.624919,-115.7,0.681708,-115.8,0.555632
5.87422,0.55,0.59426,39.6,0.62531,42.6,0.68219,42.7,0.555477
5.88452,0.55,0.592396,39.6,0.626192,42.6,0.682955,42.7,0.55593
5.89484,0.55,0.591536,-164.4,0.626321,-160.8,0.683208,-160.7,0.555336
5.90517,0.55,0.597164,-9,0.626011,-5.9,0.683545,-5.8,0.554616
5.91552,0.55,0.601791,-9,0.626454,-5.9,0.684393,-5.8,0.554943
5.92589,0.55,0.602274,143.5,0.628331,147.3,0.685852,147.4,0.555546
5.93628,0.55,0.598131,143.5,0.629766,147.3,0.686463,147.4,0.555822
5.94669,0.55,0.593701,-69.9,0.629788,-65.8,0.687104,-65.4,0.555431
5.95711,0.55,0.593414,-69.9,0.628375,-65.8,0.687134,-65.4,0.554764
5.96755,0.55,0.593654,85.9,0.628614,88.5,0.688277,88.6,0.554017
5.97801,0.55,0.594443,-126.3,0.629965,-123.4,0.689335,-123.5,0.555181
5.98849,0.55,0.594704,-126.3,0.629663,-123.4,0.689281,-123.5,0.556425
5.99899,0.55,0.600101,19.1,0.630529,22.5,0.689854,22.7,0.55815
6.00951,0.55,0.605237,19.1,0.631696,22.5,0.690481,22.7,0.558632
6.02004,0.55,0.61049,163.5,0.632462,167,0.691612,167.2,0.557951
6.0306,0.55,0.610607,163.5,0.63206,167,0.692116,167.2,0.556789
6.04117,0.55,0.602853,-54.5,0.630712,-50.4,0.692011,-50.2,0.555151
6.05176,0.55,0.596341,86.5,0.630147,90.4,0.692074,90.6,0.554353
6.06237,0.55,0.597699,86.5,0.630529,90.4,0.692746,90.6,0.554031
6.07299,0.55,0.596902,-133.1,0.630858,-130.2,0.693648,-130.3,0.553969
6.08364,0.55,0.594746,-133.1,0.630804,-130.2,0.693877,-130.3,0.554229
6.0943,0.55,0.594494,3.9,0.632133,6.9,0.694589,7,0.555261
6.10499,0.55,0.596398,3.9,0.633515,6.9,0.695072,7,0.556033
6.11569,0.55,0.604362,139.9,0.635827,142.4,0.696445,142.6,0.557615
6.12641,0.55,0.608694,-87.4,0.635211,-84.2,0.697151,-83.7,0.557112
6.13715,0.55,0.606966,-87.4,0.633665,-84.2,0.696967,-83.7,0.555799
6.14791,0.55,0.603875,44.6,0.631931,48.4,0.697115,48,0.555112
6.15869,0.55,0.602513,44.6,0.631743,48.4,0.697447,48,0.555739
6.16948,0.55,0.601916,179,0.634353,-177.3,0.698254,-177.3,0.556351
6.1803,0.55,0.602681,179,0.63715,-177.3,0.698728,-177.3,0.556337
6.19113,0.55,0.601283,-57.1,0.637879,-53.6,0.699495,-53.3,0.555977
6.20198,0.55,0.601213,69.8,0.635613,72.8,0.700534,73.1,0.555577
6.21286,0.55,0.603307,69.8,0.635416,72.8,0.70128,73.1,0.555523
6.22375,0.55,0.60342,-161.2,0.634038,-157.7,0.701388,-157.9,0.555834
6.23466,0.55,0.601439,-161.2,0.632857,-157.7,0.700749,-157.9,0.556199
6.24559,0.55,0.601672,-20.6,0.634101,-17.4,0.699966,-17.5,0.555836
6.25654,0.55,0.603886,-20.6,0.636526,-17.4,0.699821,-17.5,0.555108
6.2675,0.55,0.607386,112.9,0.638461,116.6,0.701502,116.8,0.555322
6.27849,0.55,0.609056,-127.5,0.636115,-123.7,0.703314,-123.9,0.555492
6.2895,0.55,0.609439,-127.5,0.634259,-123.7,0.703301,-123.9,0.55472
6.30052,0.55,0.607054,-9.8,0.636949,-6.3,0.704319,-6.6,0.55469
6.31157,0.55,0.604284,-9.8,0.641496,-6.3,0.705349,-6.6,0.555432
6.32263,0.55,0.601644,105.1,0.644846,107.9,0.706632,109,0.555329
6.33372,0.55,0.601773,105.1,0.643648,107.9,0.706884,109,0.554485
6.34482,0.55,0.600826,-140.7,0.634723,-137.4,0.707543,-137.2,0.554431
6.35594,0.55,0.598964,-24.9,0.629267,-20.1,0.70888,-21,0.555939
6.36708,0.55,0.598177,-24.9,0.631539,-20.1,0.709811,-21,0.556656
6.37825,0.55,0.599151,85.8,0.641166,89.7,0.711083,89,0.556945
6.38943,0.55,0.600912,85.8,0.64852,89.7,0.711423,89,0.556516
6.40063,0.55,0.602566,-147.9,0.661466,-147.4,0.711307,-144.9,0.55639
6.41185,0.55,0.602458,-147.9,0.667056,-147.4,0.710849,-144.9,0.556691
6.42309,0.55,0.60063,-24.4,0.641554,-22.6,0.710945,-20.7,0.557162
6.43435,0.55,0.601803,75.7,0.617703,82.2,0.711878,79.2,0.557148
6.44563,0.55,0.604695,75.7,0.624945,82.2,0.712257,79.2,0.556965
6.45693,0.55,0.607147,178.5,0.647447,-178.3,0.712966,-178.2,0.556244
6.46825,0.55,0.606706,178.5,0.662707,-178.3,0.713295,-178.2,0.555707
6.47958,0.55,0.607357,-80.8,0.663222,-80.9,0.713679,-77.4,0.556019
6.49094,0.55,0.608448,-80.8,0.648478,-80.9,0.713733,-77.4,0.556869
6.50232,0.55,0.605792,22.7,0.61961,27.2,0.715338,25.8,0.556467
6.51372,0.55,0.603305,137.6,0.619451,142.9,0.716552,141,0.555407
6.52514,0.55,0.604565,137.6,0.633418,142.9,0.716215,141,0.555599
6.53658,0.55,0.604681,-108.9,0.648322,-103.4,0.716035,-105.5,0.555055
6.54804,0.55,0.603537,-108.9,0.649261,-103.4,0.716193,-105.5,0.554318
6.55951,0.55,0.603442,-20,0.655002,-18,0.716873,-17,0.553783
6.57101,0.55,0.604445,75.5,0.652245,76.9,0.718618,79,0.55342
6.58253,0.55,0.6044,75.5,0.644685,76.9,0.719841,79,0.552856
6.59407,0.55,0.605986,-176.6,0.628051,-172.6,0.722169,-173.2,0.55421
6.60563,0.55,0.607617,-176.6,0.618977,-172.6,0.723273,-173.2,0.556129
6.61721,0.55,0.608333,-75.5,0.624246,-68.9,0.723872,-71.9,0.556525
6.62881,0.55,0.607418,-75.5,0.638588,-68.9,0.723368,-71.9,0.555002
6.64043,0.55,0.609327,9.7,0.666954,13.2,0.723995,13.7,0.554091
6.65207,0.55,0.611621,98.6,0.670327,99,0.726153,101.9,0.555236
6.66373,0.55,0.61109,98.6,0.659678,99,0.727178,101.9,0.555769
6.67542,0.55,0.611358,175.3,0.637849,178.3,0.728452,178.7,0.556423
6.68712,0.55,0.612156,175.3,0.626669,178.3,0.728701,178.7,0.556544
6.69884,0.55,0.612425,-105,0.623615,-98.4,0.729017,-101.6,0.556252
6.71058,0.55,0.611896,-105,0.631742,-98.4,0.729084,-101.6,0.555839
6.72235,0.55,0.61227,-27.6,0.661721,-22.7,0.729881,-24.1,0.555157
6.73413,0.55,0.613375,53.2,0.680576,54,0.731204,56.3,0.555713
6.74594,0.55,0.613579,53.2,0.677578,54,0.731797,56.3,0.556537
6.75776,0.55,0.612713,122.1,0.661348,122.6,0.732969,125.2,0.55699
6.76961,0.55,0.611643,122.1,0.648116,122.6,0.733547,125.2,0.556618
6.78148,0.55,0.610649,-161.6,0.630443,-157.5,0.733814,-158.2,0.555284
6.79336,0.55,0.610724,-161.6,0.626003,-157.5,0.733502,-158.2,0.554321
6.80527,0.55,0.609381,-96.6,0.636131,-90.7,0.733514,-93.3,0.554233
6.8172,0.55,0.609959,-28.6,0.660641,-24.7,0.734589,-25.5,0.555128
6.82915,0.55,0.611955,-28.6,0.670583,-24.7,0.73534,-25.5,0.555147
6.84112,0.55,0.612806,41.8,0.679795,43,0.736702,45.1,0.556272
6.85312,0.55,0.61166,41.8,0.679066,43,0.737313,45.1,0.557378
6.86513,0.55,0.614093,105.2,0.667497,105.8,0.738889,108.9,0.558008
6.87716,0.55,0.617671,105.2,0.656658,105.8,0.739855,108.9,0.557533
6.88922,0.55,0.620753,-173.7,0.640816,-170.9,0.740728,-170.1,0.556985
6.9013,0.55,0.619072,-99.1,0.638113,-96.4,0.740155,-95.8,0.555913
6.9134,0.55,0.617887,-99.1,0.640414,-96.4,0.739674,-95.8,0.554913
6.92551,0.55,0.616308,-41.2,0.644422,-37.6,0.740037,-38.1,0.553728
6.93765,0.55,0.615915,-41.2,0.64613,-37.6,0.74088,-38.1,0.553544
6.94982,0.55,0.616514,19.3,0.651109,23.1,0.742299,22.5,0.554582
6.962,0.55,0.617507,19.3,0.65438,23.1,0.742874,22.5,0.555803
6.9742,0.55,0.61801,68,0.662192,71.1,0.745001,71.3,0.556266
6.98643,0.55,0.618561,119.7,0.665775,122.1,0.747453,123,0.555722
6.99868,0.55,0.6196,119.7,0.664817,122.1,0.748354,123,0.555935
7.01095,0.55,0.620622,169.5,0.660136,171.4,0.74985,172.5,0.555885
7.02324,0.55,0.620604,169.5,0.656412,171.4,0.750446,172.5,0.555621
7.03555,0.55,0.619281,-143.3,0.650109,-140.2,0.750401,-139.9,0.554998
7.04788,0.55,0.617976,-143.3,0.647528,-140.2,0.749759,-139.9,0.55464
7.06024,0.55,0.617324,-97.7,0.647114,-94.1,0.749981,-94.5,0.554921
7.07261,0.55,0.617134,-54.8,0.65291,-50.3,0.751524,-51.3,0.555228
7.08501,0.55,0.616292,-54.8,0.65654,-50.3,0.752203,-51.3,0.554896
7.09743,0.55,0.618379,-8.4,0.6616,-4.4,0.753308,-5,0.555423
7.10987,0.55,0.621309,-8.4,0.663029,-4.4,0.753733,-5,0.556282
7.12234,0.55,0.622711,31.1,0.66586,34.4,0.755139,34.1,0.55664
7.13482,0.55,0.621182,31.1,0.667261,34.4,0.756121,34.1,0.556139
7.14733,0.55,0.620825,63.6,0.669886,65.7,0.757744,66.2,0.554924
7.15986,0.55,0.621689,97.6,0.669501,100.1,0.759141,101.3,0.554174
7.17241,0.55,0.621382,97.6,0.667892,100.1,0.759896,101.3,0.554138
7.18498,0.55,0.62176,130.9,0.663769,133,0.761549,134.3,0.553919
7.19758,0.55,0.622445,130.9,0.661256,133,0.762446,134.3,0.553736
7.2102,0.55,0.62606,162.1,0.656822,164.1,0.764397,165.1,0.554194
7.22284,0.55,0.62899,162.1,0.654901,164.1,0.765451,165.1,0.554834
7.2355,0.55,0.625772,-163.8,0.651939,-161.5,0.765991,-161.1,0.555314
7.24818,0.55,0.620237,-117.5,0.654486,-115,0.765515,-114,0.555597
7.26089,0.55,0.620851,-117.5,0.658073,-115,0.765554,-114,0.556039
7.27362,0.55,0.622063,-78.6,0.660978,-75.6,0.766003,-74.4,0.556025
7.28637,0.55,0.622662,-78.6,0.660296,-75.6,0.766412,-74.4,0.555567
7.29914,0.55,0.630112,-53.9,0.658375,-52.8,0.767148,-52.1,0.555536
7.31194,0.55,0.63657,-28.7,0.6565,-27,0.768021,-26.8,0.555226
7.32475,0.55,0.636176,-28.7,0.655862,-27,0.768569,-26.8,0.554489
7.33759,0.55,0.625812,-11.6,0.655745,-8.4,0.770466,-8.6,0.555191
7.35046,0.55,0.615842,-11.6,0.656267,-8.4,0.771816,-8.6,0.556628
7.36334,0.55,0.604982,4.1,0.65846,7.9,0.775804,7.3,0.55711
7.37625,0.55,0.604093,4.1,0.660132,7.9,0.778441,7.3,0.556155
7.38918,0.55,0.620927,17.3,0.663354,21.8,0.783972,21.1,0.555845
7.40213,0.55,0.644324,23.6,0.667455,28.1,0.788224,27.6,0.556648
7.41511,0.55,0.649999,23.6,0.670008,28.1,0.789583,27.6,0.556806
7.42811,0.55,0.65051,39.5,0.672135,43,0.790358,42.5,0.556606
7.44113,0.55,0.645346,39.5,0.67171,43,0.789775,42.5,0.556247
7.45418,0.55,0.633157,43.4,0.672516,44.8,0.788585,44.8,0.555428
7.46724,0.55,0.626133,43.4,0.673747,44.8,0.787977,44.8,0.554968
7.48033,0.55,0.615001,53.3,0.675423,55.3,0.787129,55.5,0.555123
7.49345,0.55,0.610893,53.3,0.675866,55.3,0.786887,55.5,0.555739
7.50658,0.55,0.612354,48.7,0.6765,52.9,0.78689,53.3,0.555535
7.51974,0.55,0.628176,47.3,0.67689,53.6,0.78588,54.2,0.554902
7.53292,0.55,0.63843,47.3,0.677091,53.6,0.784627,54.2,0.555089
7.54613,0.55,0.650389,53.3,0.676998,57.3,0.782742,57.9,0.554912
7.55936,0.55,0.652093,53.3,0.676705,57.3,0.78211,57.9,0.554547
7.57261,0.55,0.642895,53.7,0.676626,53.4,0.78192,53.5,0.554362
7.58588,0.55,0.631992,53.7,0.67684,53.4,0.78236,53.5,0.554541
7.59918,0.55,0.604962,46.4,0.678471,47.2,0.78608,46.9,0.555166
7.6125,0.55,0.602997,28.1,0.68142,33.4,0.791878,33.2,0.556006
7.62585,0.55,0.61716,28.1,0.682951,33.4,0.794397,33.2,0.5564
7.63922,0.55,0.654892,23.8,0.684302,28.4,0.80046,28.1,0.556605
7.65261,0.55,0.678461,23.8,0.68412,28.4,0.804004,28.1,0.556415
7.66602,0.55,0.679163,15.2,0.682975,15.8,0.809266,15.7,0.555881
7.67946,0.55,0.656297,15.2,0.682011,15.8,0.810984,15.7,0.555536
7.69292,0.55,0.596056,-7.8,0.681086,-4.5,0.81337,-4,0.555845
7.70641,0.55,0.579813,-22.3,0.679936,-16.3,0.812115,-15.5,0.555859
7.71992,0.55,0.600946,-22.3,0.678748,-16.3,0.810192,-15.5,0.555218
7.73345,0.55,0.650664,-35.9,0.677139,-35.9,0.806913,-35.2,0.554098
7.74701,0.55,0.679249,-35.9,0.676719,-35.9,0.805557,-35.2,0.553618
7.76059,0.55,0.686645,-59.8,0.677616,-62.9,0.804386,-62.7,0.55422
7.77419,0.55,0.665456,-59.8,0.678933,-62.9,0.804572,-62.7,0.555301
7.78782,0.55,0.630251,-90.3,0.680603,-81.8,0.807336,-81.6,0.556643
7.80147,0.55,0.631857,-87.3,0.681208,-86.7,0.81149,-85.6,0.556491
7.81515,0.55,0.647478,-87.3,0.681459,-86.7,0.813065,-85.6,0.556077
7.82885,0.55,0.645076,-96.6,0.683224,-98.7,0.814285,-97.1,0.556054
7.84257,0.55,0.627053,-96.6,0.684737,-98.7,0.813929,-97.1,0.556445
7.85632,0.55,0.631464,-135.9,0.687485,-129.3,0.812201,-128.1,0.554978
7.87009,0.55,0.66989,-164.9,0.689604,-162.1,0.812257,-161.6,0.553938
7.88389,0.55,0.685881,-164.9,0.690488,-162.1,0.813685,-161.6,0.554756
7.89771,0.55,0.667915,166.4,0.691937,168.3,0.817923,168.6,0.556094
7.91156,0.55,0.633958,166.4,0.692502,168.3,0.820734,168.6,0.556615
7.92543,0.55,0.607016,123.5,0.693103,130.7,0.824282,131.1,0.5567
7.93932,0.55,0.614029,123.5,0.69314,130.7,0.82502,131.1,0.556265
7.95324,0.55,0.641711,82.6,0.692726,85.2,0.825592,85.6,0.55566
7.96718,0.55,0.644334,48.4,0.692193,48.6,0.825271,48.9,0.555432
7.98114,0.55,0.626291,48.4,0.69211,48.6,0.825116,48.9,0.555374
7.99514,0.55,0.62321,0.3,0.692631,3.7,0.824539,4,0.554794
8.00915,0.55,0.638173,0.3,0.693235,3.7,0.824118,4,0.554272
8.02319,0.55,0.652926,-44.9,0.694214,-43.3,0.825562,-43.2,0.55425
8.03726,0.55,0.652717,-44.9,0.694591,-43.3,0.827427,-43.2,0.554749
8.05135,0.55,0.644628,-100.8,0.695019,-98.6,0.831495,-98.2,0.55502
8.06546,0.55,0.64211,-153.7,0.695846,-150.4,0.834252,-150,0.555247
8.0796,0.55,0.647471,-153.7,0.69662,-150.4,0.834807,-150,0.555703
8.09376,0.55,0.655021,153.6,0.698383,155.4,0.836599,155.6,0.556303
8.10795,0.55,0.657211,153.6,0.699372,155.4,0.837836,155.6,0.556447
8.12216,0.55,0.652335,101.7,0.700738,104.5,0.840841,104.7,0.557448
8.1364,0.55,0.64527,101.7,0.701116,104.5,0.842609,104.7,0.558303
8.15067,0.55,0.650489,36.3,0.70322,39.7,0.846522,40.1,0.558292
8.16495,0.55,0.657607,-17.7,0.706025,-15.6,0.849255,-15.4,0.557334
8.17927,0.55,0.652441,-17.7,0.707105,-15.6,0.849843,-15.4,0.557243
8.19361,0.55,0.64688,-83.3,0.707217,-79.1,0.851659,-79.1,0.557599
8.20797,0.55,0.646485,-83.3,0.706249,-79.1,0.852888,-79.1,0.558047
8.22236,0.55,0.65173,-153.7,0.704457,-151.2,0.855685,-151,0.558433
8.23677,0.55,0.65737,-153.7,0.703633,-151.2,0.857254,-151,0.558371
8.25121,0.55,0.651659,142.6,0.705065,145.9,0.859987,146.4,0.558428
8.26567,0.55,0.647384,96.2,0.708572,98.5,0.861495,98.7,0.558199
8.28016,0.55,0.654459,96.2,0.709823,98.5,0.861839,98.7,0.557852
8.29468,0.55,0.656829,40.1,0.710827,42.8,0.86302,43,0.557791
8.30922,0.55,0.652125,40.1,0.710579,42.8,0.863855,43,0.558077
8.32379,0.55,0.654302,-35.5,0.710455,-33,0.865344,-32.7,0.557754
8.33838,0.55,0.661184,-35.5,0.710579,-33,0.865997,-32.7,0.557144
8.353,0.55,0.659866,-107.5,0.711554,-105.4,0.868677,-105.1,0.557577
8.36764,0.55,0.656617,165.3,0.71363,167.9,0.872459,168.3,0.558998
8.38231,0.55,0.661569,165.3,0.714856,167.9,0.874214,168.3,0.559376
8.397,0.55,0.66141,83.1,0.716605,85,0.876938,85.3,0.560173
8.41172,0.55,0.656299,83.1,0.717129,85,0.877907,85.3,0.560592
8.42647,0.55,0.654607,-3.4,0.717282,-0.5,0.879068,-0.2,0.560364
8.44124,0.55,0.658025,-3.4,0.71691,-0.5,0.87926,-0.2,0.559716
8.45604,0.55,0.661568,-84.8,0.716788,-82.6,0.880812,-82.2,0.559317
8.47086,0.55,0.661509,178,0.71787,-179.1,0.882839,-178.6,0.559152
8.48571,0.55,0.661324,178,0.718702,-179.1,0.883507,-178.6,0.558739
8.50059,0.55,0.66129,91.7,0.720215,94,0.885617,94.2,0.558368
8.51549,0.55,0.661439,91.7,0.720895,94,0.88706,94.2,0.55841
8.53041,0.55,0.660898,-10.2,0.721274,-7.5,0.889658,-7.2,0.558683
8.54537,0.55,0.660208,-10.2,0.720973,-7.5,0.890813,-7.2,0.558915
8.56035,0.55,0.662051,-102,0.721497,-99.6,0.893185,-99.2,0.558671
8.57535,0.55,0.663321,151.3,0.723378,154,0.895634,154.4,0.558473
8.59039,0.55,0.662057,151.3,0.724435,154,0.896865,154.4,0.558751
8.60545,0.55,0.662117,54.5,0.725329,57,0.899024,57.4,0.559138
8.62053,0.55,0.66344,54.5,0.725167,57,0.899952,57.4,0.559247
8.63564,0.55,0.665544,-57.2,0.725384,-54.6,0.901732,-54.3,0.558927
8.65078,0.55,0.666324,-57.2,0.725764,-54.6,0.902584,-54.3,0.558498
8.66595,0.55,0.667379,-165.4,0.72609,-162.6,0.904896,-162.3,0.558796
8.68114,0.55,0.669003,90,0.727403,92.9,0.908043,93.1,0.559236
8.69636,0.55,0.670352,90,0.728769,92.9,0.909729,93.1,0.55895
8.7116,0.55,0.67037,-22.9,0.730198,-20.4,0.911977,-20,0.558622
8.72687,0.55,0.669038,-22.9,0.73026,-20.4,0.912539,-20,0.558579
8.74217,0.55,0.66911,-138.6,0.730488,-136,0.914555,-135.7,0.558327
8.7575,0.55,0.670515,-138.6,0.730652,-136,0.916008,-135.7,0.558118
8.77285,0.55,0.67054,103.1,0.732524,105.5,0.919733,106,0.558386
8.78823,0.55,0.669822,-24,0.734372,-21.5,0.922811,-21.2,0.558529
8.80363,0.55,0.670484,-24,0.734513,-21.5,0.923617,-21.2,0.558195
8.81907,0.55,0.672172,-141.5,0.734944,-138.8,0.925299,-138.4,0.558491
8.83453,0.55,0.673198,-141.5,0.735233,-138.8,0.926175,-138.4,0.559122
8.85001,0.55,0.673561,86.5,0.73659,88.8,0.928506,89.3,0.559419
8.86553,0.55,0.672899,86.5,0.737658,88.8,0.929961,89.3,0.559085
8.88107,0.55,0.672973,-35.8,0.738656,-33.5,0.932794,-33.2,0.558384
8.89664,0.55,0.673167,-173.3,0.73924,-171.1,0.935871,-170.6,0.558542
8.91223,0.55,0.672626,-173.3,0.739892,-171.1,0.937571,-170.6,0.559066
