"Date and Time Run #2","Time (s) Run #2","Black Bottle","Brushed Aluminum Bottle","White Bottle"
04/16/2026 03:44:08 pm,119.000,23.2,22.6,22.1
04/16/2026 03:44:08 pm,119.500,23.2,22.5,
04/16/2026 03:44:09 pm,120.000,23.2,22.5,22.1
04/16/2026 03:44:09 pm,120.500,23.2,22.5,
04/16/2026 03:44:10 pm,121.000,23.2,22.5,22.1
04/16/2026 03:44:10 pm,121.500,23.2,22.5,
04/16/2026 03:44:11 pm,122.000,23.2,22.5,22.1
04/16/2026 03:44:11 pm,122.500,23.2,22.5,
04/16/2026 03:44:12 pm,123.000,23.2,22.5,22.2
04/16/2026 03:44:12 pm,123.500,23.2,22.5,
04/16/2026 03:44:13 pm,124.000,23.2,22.5,22.1
04/16/2026 03:44:13 pm,124.500,23.2,22.5,
04/16/2026 03:44:14 pm,125.000,23.2,22.5,22.2
04/16/2026 03:44:14 pm,125.500,23.2,22.5,
04/16/2026 03:44:15 pm,126.000,23.3,22.5,22.1
04/16/2026 03:44:15 pm,126.500,23.3,22.6,
04/16/2026 03:44:16 pm,127.000,23.2,22.5,22.1
04/16/2026 03:44:16 pm,127.500,23.3,22.5,
04/16/2026 03:44:17 pm,128.000,23.3,22.6,22.1
04/16/2026 03:44:17 pm,128.500,23.3,22.6,
04/16/2026 03:44:18 pm,129.000,23.3,22.6,22.2
04/16/2026 03:44:18 pm,129.500,23.3,22.6,
04/16/2026 03:44:19 pm,130.000,23.3,22.6,22.1
04/16/2026 03:44:19 pm,130.500,23.3,22.6,
04/16/2026 03:44:20 pm,131.000,23.3,22.6,22.2
04/16/2026 03:44:20 pm,131.500,23.3,22.6,
04/16/2026 03:44:21 pm,132.000,23.3,22.6,22.2
04/16/2026 03:44:21 pm,132.500,23.3,22.6,
04/16/2026 03:44:22 pm,133.000,23.3,22.6,22.1
04/16/2026 03:44:22 pm,133.500,23.3,22.6,
04/16/2026 03:44:23 pm,134.000,23.3,22.6,22.2
04/16/2026 03:44:23 pm,134.500,23.3,22.6,
04/16/2026 03:44:24 pm,135.000,23.3,22.6,22.2
04/16/2026 03:44:24 pm,135.500,23.3,22.6,
04/16/2026 03:44:25 pm,136.000,23.3,22.6,22.2
04/16/2026 03:44:25 pm,136.500,23.3,22.6,
04/16/2026 03:44:26 pm,137.000,23.4,22.6,22.1
04/16/2026 03:44:26 pm,137.500,23.3,22.6,
04/16/2026 03:44:27 pm,138.000,23.3,22.6,22.2
04/16/2026 03:44:27 pm,138.500,23.3,22.6,
04/16/2026 03:44:28 pm,139.000,23.3,22.6,22.1
04/16/2026 03:44:28 pm,139.500,23.3,22.6,
04/16/2026 03:44:29 pm,140.000,23.4,22.6,22.2
04/16/2026 03:44:29 pm,140.500,23.4,22.6,
04/16/2026 03:44:30 pm,141.000,23.4,22.6,22.2
04/16/2026 03:44:30 pm,141.500,23.4,22.6,
04/16/2026 03:44:31 pm,142.000,23.4,22.6,22.2
04/16/2026 03:44:31 pm,142.500,23.4,22.6,
04/16/2026 03:44:32 pm,143.000,23.4,22.6,22.2
04/16/2026 03:44:32 pm,143.500,23.4,22.6,
04/16/2026 03:44:33 pm,144.000,23.4,22.6,22.2
04/16/2026 03:44:33 pm,144.500,23.4,22.6,
04/16/2026 03:44:34 pm,145.000,23.4,22.6,22.2
04/16/2026 03:44:34 pm,145.500,23.4,22.6,
04/16/2026 03:44:35 pm,146.000,23.4,22.6,22.2
04/16/2026 03:44:35 pm,146.500,23.4,22.6,
04/16/2026 03:44:36 pm,147.000,23.4,22.6,22.2
04/16/2026 03:44:36 pm,147.500,23.4,22.6,
04/16/2026 03:44:37 pm,148.000,23.4,22.6,22.2
04/16/2026 03:44:37 pm,148.500,23.4,22.6,
04/16/2026 03:44:38 pm,149.000,23.4,22.6,22.2
04/16/2026 03:44:38 pm,149.500,23.4,22.6,
04/16/2026 03:44:39 pm,150.000,23.4,22.6,22.2
04/16/2026 03:44:39 pm,150.500,23.5,22.6,
04/16/2026 03:44:40 pm,151.000,23.4,22.6,22.2
04/16/2026 03:44:40 pm,151.500,23.5,22.6,
