sweep_index,point_index,elapsed_time_s,angle_deg,dist_mm
1.100000000000000000e+01,2.000000000000000000e+00,2.354170179367065430e+01,4.500000000000000000e+01,2.111999999999999886e+02
1.200000000000000000e+01,0.000000000000000000e+00,2.550348162651062012e+01,-4.500000000000000000e+01,2.060000000000000000e+02
1.200000000000000000e+01,1.000000000000000000e+00,2.550348162651062012e+01,0.000000000000000000e+00,1.830000000000000000e+02
1.200000000000000000e+01,2.000000000000000000e+00,2.550348162651062012e+01,4.500000000000000000e+01,2.110000000000000000e+02
1.300000000000000000e+01,0.000000000000000000e+00,2.746595788002014160e+01,-4.500000000000000000e+01,2.055999999999999943e+02
1.300000000000000000e+01,1.000000000000000000e+00,2.746595788002014160e+01,0.000000000000000000e+00,1.845999999999999943e+02
1.300000000000000000e+01,2.000000000000000000e+00,2.746595788002014160e+01,4.500000000000000000e+01,2.108300000000000125e+02
1.400000000000000000e+01,0.000000000000000000e+00,2.942819023132324219e+01,-4.500000000000000000e+01,2.038000000000000114e+02
1.400000000000000000e+01,1.000000000000000000e+00,2.942819023132324219e+01,0.000000000000000000e+00,1.844000000000000057e+02
1.400000000000000000e+01,2.000000000000000000e+00,2.942819023132324219e+01,4.500000000000000000e+01,2.121999999999999886e+02
1.500000000000000000e+01,0.000000000000000000e+00,3.139009356498718262e+01,-4.500000000000000000e+01,2.031999999999999886e+02
1.500000000000000000e+01,1.000000000000000000e+00,3.139009356498718262e+01,0.000000000000000000e+00,1.834000000000000057e+02
1.500000000000000000e+01,2.000000000000000000e+00,3.139009356498718262e+01,4.500000000000000000e+01,2.115999999999999943e+02
1.600000000000000000e+01,0.000000000000000000e+00,3.335174441337585449e+01,-4.500000000000000000e+01,2.040000000000000000e+02
1.600000000000000000e+01,1.000000000000000000e+00,3.335174441337585449e+01,0.000000000000000000e+00,1.840000000000000000e+02
1.600000000000000000e+01,2.000000000000000000e+00,3.335174441337585449e+01,4.500000000000000000e+01,2.121999999999999886e+02
